@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 75\nSize of the tree: 103\n','Number of leaves: 90\nSize of the tree: 125\n','Number of leaves: 91\nSize of the tree: 127\n','Number of leaves: 88\nSize of the tree: 121\n','Number of leaves: 84\nSize of the tree: 116\n','Number of leaves: 95\nSize of the tree: 131\n','Number of leaves: 93\nSize of the tree: 129\n','Number of leaves: 92\nSize of the tree: 127\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,10,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20180905.212,1088,120,114,6,0,95,5,0,0.889757,0.024008,0.14857,10.496649,43.975288,143.9511,112.665227,31.285873,1.199593,0.938877,0.260716,122.951969,1.0246,85.412316,0.988095,83,0.027778,1,0.972222,35,0.011905,1,0.988095,0.988095,0.988095,0.960317,0.999669,0.99986,0.95,0.029409,0.970591,0.05,0.953966,0.95,0.945999,0.921701,0.990435,0.961641,0.835317,0.95,0.016,0,0.015625,0,15.625,0,355960,94707,12427,96.666667,25.625,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20180905.212,1087,121,104,17,0,85.950413,14.049587,0,0.665093,0.108875,0.202255,47.723051,60.036285,144.467111,52.778344,91.688766,1.193943,0.436185,0.757758,90.825343,0.750623,62.869218,0.988235,84,0.194444,7,0.805556,29,0.011765,1,0.923077,0.988235,0.954545,0.840399,0.998856,0.999471,0.859504,0.15824,0.84176,0.140496,?,0.859504,?,?,0.989215,0.955987,?,0.859504,0,0,0,0,0,0,96403,94622,12512,100,50,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20180905.212,1087,121,112,9,0,92.561983,7.438017,0,0.826233,0.10581,0.194015,46.379472,57.590327,144.467111,48.978044,95.489066,1.193943,0.404777,0.789166,93.885983,0.775917,64.98779,1,85,0.138889,5,0.861111,31,0,0,0.944444,1,0.971429,0.901816,0.997386,0.998746,0.92562,0.107062,0.892938,0.07438,0.926644,0.92562,0.919605,0.862496,0.993265,0.978711,0.807547,0.92562,0,0,0,0,0,0,96363,94622,12512,100,49.173554,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20180905.212,1087,121,114,7,0,94.214876,5.785124,0,0.869672,0.105741,0.190496,46.349105,56.545735,144.467111,48.265536,96.201575,1.193943,0.398889,0.795054,94.841742,0.783816,65.649366,0.988235,84,0.055556,2,0.944444,34,0.011765,1,0.976744,0.988235,0.982456,0.940394,0.997386,0.99871,0.942149,0.050896,0.949104,0.057851,0.946473,0.942149,0.93784,0.902687,0.993845,0.979153,0.822055,0.942149,0,0.016,0,0.015625,0,15.625,96387,94622,12512,100,49.380165,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20180905.212,1087,121,116,5,0,95.867769,4.132231,0,0.905528,0.105676,0.189408,46.318222,56.219652,144.578366,49.034912,95.543454,1.194863,0.405247,0.789615,94.686087,0.78253,65.491187,1,85,0.083333,3,0.916667,33,0,0,0.965909,1,0.982659,0.940966,0.998039,0.999174,0.958678,0.063288,0.936712,0.041322,0.959523,0.958678,0.955679,0.922853,0.994488,0.976861,0.866035,0.958678,0,0,0,0,0,0,96379,94622,12512,100,51.033058,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20180905.212,1087,121,109,12,0,90.082645,9.917355,0,0.768753,0.116721,0.206291,51.159384,61.23102,144.578366,56.027957,88.550409,1.194863,0.463041,0.731822,86.722394,0.716714,59.982967,0.988235,84,0.138889,5,0.861111,31,0.011765,1,0.94382,0.988235,0.965517,0.880391,0.995915,0.998172,0.900826,0.114183,0.885817,0.099174,0.906673,0.900826,0.890416,0.821707,0.99089,0.963314,0.680665,0.900826,0,0.016,0,0.015625,0,15.625,96371,94622,12512,100,50.826446,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20180905.212,1087,121,105,16,0,86.77686,13.22314,0,0.69507,0.119424,0.21802,52.191654,64.499699,147.012803,59.742852,87.26995,1.214982,0.493743,0.721239,85.941528,0.710261,58.458533,0.964706,82,0.194444,7,0.805556,29,0.035294,3,0.921348,0.964706,0.942529,0.798415,0.989542,0.995638,0.867769,0.155044,0.844956,0.132231,0.867308,0.867769,0.860443,0.744431,0.978816,0.931841,0.682735,0.867769,0,0,0,0,0,0,96387,94622,12512,100,51.239669,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20180905.212,1087,121,108,13,0,89.256198,10.743802,0,0.756915,0.114958,0.206796,50.240086,61.179049,147.012803,54.410502,92.6023,1.214982,0.449674,0.765308,90.853932,0.750859,61.800014,0.952941,81,0.194444,7,0.805556,29,0.047059,4,0.920455,0.952941,0.936416,0.778603,0.989052,0.994952,0.892562,0.150164,0.849836,0.107438,0.892551,0.892562,0.891379,0.766086,0.980087,0.961486,0.864823,0.892562,0,0.015,0,0.015625,0,15.625,96387,94622,12512,100,50.413223,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20180905.212,1087,121,112,9,0,92.561983,7.438017,0,0.837049,0.110995,0.205251,48.139069,60.204675,148.665435,63.823999,84.841436,1.22864,0.527471,0.701169,91.5905,0.756946,61.60847,0.97619,82,0.081081,3,0.918919,34,0.02381,2,0.964706,0.97619,0.970414,0.902103,0.997104,0.998685,0.92562,0.068513,0.931487,0.07438,0.923252,0.92562,0.922331,0.865634,0.987476,0.955961,0.804111,0.92562,0,0,0,0,0,0,96371,94622,12512,99.173554,49.793388,?,?,?,?
car-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20180905.212,1088,120,112,8,0,93.333333,6.666667,0,0.846055,0.104058,0.192418,45.496596,56.953834,143.9511,49.194385,94.756715,1.199593,0.409953,0.789639,93.641954,0.78035,65.051225,1,84,0.111111,4,0.888889,32,0,0,0.954545,1,0.976744,0.921132,1,1,0.933333,0.087455,0.912545,0.066667,?,0.933333,?,?,0.994192,0.960473,?,0.933333,0,0.016,0,0.015625,0,15.625,96456,94707,12427,100,49.583333,?,?,?,?
